Oyuncu,Yaş,Uyruk,Mevki,Sezon,Lig,Kategori,MP,DK,GLS,AST,ASR,TOS,SOT,BCM,KEYP,BCC,SDR,APS,APS%,ALB,LBA%,ACR,CA%,CLS,YC,RC,ELTG,DRP,TACK,INT,BLS,ADW,xG,xA,GI,XGI,Bonservis
Aaron Cresswell,35,ENG,D,24/25,Premier League,Domestic leagues,18,847,0,0,6.91,5,0,0,9,2,1,451,86.6,43,53.8,10,27.8,3,3,0,0,2,11,8,1,7,0.23,1.90,0,2.14,500.000
Aaron Cresswell,34,ENG,D,23/24,Premier League,Domestic leagues,11,453,0,0,6.58,,,0,5,1,0,206,83.4,14,41.2,4,36.4,0,1,0,0,1,3,3,,6,,0.34,0,0.34,900.000
Aaron Cresswell,33,ENG,D,22/23,Premier League,Domestic leagues,28,2241,0,1,6.88,9,1,0,40,4,2,912,81.5,64,50.4,42,31.6,5,3,0,0,19,21,27,6,28,0.35,2.85,1,3.20,1.200.000
Aaron Cresswell,32,ENG,D,21/22,Premier League,Domestic leagues,31,2728,2,3,7.01,18,4,0,31,5,8,1412,82.6,81,38.6,34,23.4,7,3,0,0,12,28,35,7,32,,,5,,2.500.000
Aaron Cresswell,31,ENG,D,20/21,Premier League,Domestic leagues,36,3172,0,8,7.10,19,4,0,60,12,4,1303,78.9,119,41.6,59,28.5,11,3,0,0,14,32,32,3,35,,,8,,5.000.000
Aaron Cresswell,30,ENG,D,19/20,Premier League,Domestic leagues,31,2730,3,0,6.71,17,5,1,26,4,11,933,74.6,67,35.1,26,20.5,5,7,0,0,23,43,35,3,45,,,3,,6.500.000
Aaron Cresswell,29,ENG,D,18/19,Premier League,Domestic leagues,20,1590,0,1,6.81,11,0,0,17,1,6,661,81.4,29,39.2,16,21.3,1,1,0,0,12,29,23,3,25,,,1,,8.000.000
Aaron Cresswell,28,ENG,D,17/18,Premier League,Domestic leagues,36,3071,1,7,6.86,21,6,0,35,5,5,1002,77.1,98,40.3,35,17.9,10,7,0,0,11,34,44,6,57,,,8,,12.000.000
Aaron Cresswell,27,ENG,D,16/17,Premier League,Domestic leagues,26,2117,0,2,6.51,11,2,1,17,4,9,572,75.5,57,39.0,17,17.5,4,3,1,1,15,21,25,4,36,,,2,,12.000.000
Aaron Cresswell,26,ENG,D,15/16,Premier League,Domestic leagues,37,3315,2,4,6.82,28,7,0,41,3,12,1067,77.5,115,41.7,31,25.6,11,1,0,3,18,38,70,10,40,,,6,,12.000.000
Aaron Cresswell,34,ENG,D,23/24,UEFA Europa League,International competitions,6,416,1,0,6.77,1,1,0,2,0,0,201,85.9,7,43.8,3,25.0,1,1,0,0,1,4,2,0,6,0.13,0.44,1,0.56,900.000
Aaron Cresswell,32,ENG,D,21/22,UEFA Europa League,International competitions,9,704,0,3,6.57,2,0,0,15,2,0,395,84.4,21,41.2,17,28.8,3,1,2,0,5,6,8,0,5,,,3,,2.500.000
Aaron Cresswell,33,ENG,D,22/23,UEFA Conference League,International competitions,8,604,0,2,6.98,1,0,0,7,2,2,379,91.1,16,53.3,7,41.2,3,2,0,0,2,6,9,0,2,0.03,0.57,2,0.60,1.200.000
Aaron Wan Bissaka,27,ENG,D,24/25,Premier League,Domestic leagues,36,3154,2,5,7.13,16,5,1,33,7,64,1244,82.8,30,37.0,16,21.1,5,1,0,0,9,70,66,3,23,1.19,2.78,7,3.98,24.000.000
Aaron Wan Bissaka,26,ENG,D,23/24,Premier League,Domestic leagues,22,1781,0,2,6.97,3,1,0,12,1,17,690,82.9,13,31.7,4,28.6,3,4,0,0,7,42,41,2,21,0.11,1.38,2,1.49,20.000.000
Aaron Wan Bissaka,25,ENG,D,22/23,Premier League,Domestic leagues,19,1442,0,0,6.98,10,2,2,15,1,17,589,83.5,17,53.1,3,21.4,7,2,0,0,2,40,22,7,13,1.18,0.94,0,2.12,25.000.000
Aaron Wan Bissaka,24,ENG,D,21/22,Premier League,Domestic leagues,20,1794,0,0,6.91,5,1,0,14,1,36,759,81.0,17,38.6,8,22.9,3,2,0,0,6,49,34,3,19,,,0,,18.000.000
Aaron Wan Bissaka,23,ENG,D,20/21,Premier League,Domestic leagues,34,3060,2,4,7.14,7,4,0,31,2,34,1532,84.9,27,37.0,13,21.7,13,3,0,0,13,88,62,1,38,,,6,,40.000.000
Aaron Wan Bissaka,22,ENG,D,19/20,Premier League,Domestic leagues,35,3072,0,4,7.08,7,1,2,25,4,54,1341,81.3,33,33.0,14,13.6,11,8,0,0,22,129,66,2,24,,,4,,40.000.000
Aaron Wan Bissaka,21,ENG,D,18/19,Premier League,Domestic leagues,35,3135,0,3,7.03,9,0,0,14,4,61,851,73.0,34,22.7,12,21.4,12,4,1,0,10,129,84,5,43,,,3,,40.000.000
Aaron Wan Bissaka,20,ENG,D,17/18,Premier League,Domestic leagues,7,628,0,0,7.37,,,0,3,0,13,148,72.9,5,17.9,4,20.0,2,1,0,0,4,29,15,,9,,,0,,5.000.000
Aaron Wan Bissaka,26,ENG,D,23/24,UEFA Champions League,International competitions,3,213,0,1,6.83,,,0,3,1,2,80,90.9,2,40.0,0,,0,1,0,0,0,7,10,,1,,0.21,1,0.21,20.000.000
Aaron Wan Bissaka,24,ENG,D,21/22,UEFA Champions League,International competitions,6,419,0,0,6.78,1,0,0,1,0,8,218,85.2,8,53.3,0,,1,0,1,0,1,12,11,1,1,,,0,,18.000.000
